ticker,relate,spec,senti,commit,metrics,strategy,governance,risk
XEL,0.8580508474576272,0.6521739130434783,0.28,0.78,0.2392156862745098,0.6274509803921569,0.1176470588235294,0.0156862745098039
WEC,0.7221095334685599,0.4855491329479768,0.25,0.71,0.1214574898785425,0.7935222672064778,0.0769230769230769,0.0080971659919028
VLO,0.6387755102040816,0.5255474452554745,0.37,0.47,0.2934782608695652,0.5380434782608695,0.1141304347826086,0.0543478260869565
PPL,0.75,0.4429530201342282,0.37,0.49,0.2555066079295154,0.6431718061674009,0.0881057268722467,0.013215859030837
NEE,0.8549618320610687,0.4296296296296296,0.4,0.59,0.2586206896551724,0.603448275862069,0.1163793103448275,0.021551724137931
EVRG,0.6551724137931034,0.5213675213675214,0.27,0.68,0.1283422459893048,0.7647058823529411,0.0641711229946524,0.0427807486631016
ETR,0.56,0.6419753086419753,0.28,0.7,0.2288135593220339,0.6864406779661016,0.0847457627118644,0.0
DUK,0.8123076923076923,0.4482758620689655,0.27,0.65,0.1038251366120218,0.825136612021858,0.0546448087431694,0.0163934426229508
DTE,0.8669623059866962,0.553763440860215,0.43,0.47,0.4504132231404958,0.3925619834710744,0.1446280991735537,0.012396694214876
CF,0.875,0.6,0.15,0.73,0.0909090909090909,0.8181818181818182,0.0909090909090909,0.0
AEP,0.7274401473296501,0.2633928571428571,0.41,0.51,0.1584905660377358,0.7056603773584905,0.0981132075471698,0.0377358490566037
AES,0.6494845360824743,0.4358974358974359,0.28,0.59,0.160377358490566,0.6886792452830188,0.1037735849056603,0.0471698113207547
CMS,0.776824034334764,0.6702127659574468,0.31,0.61,0.4661654135338345,0.4661654135338345,0.0526315789473684,0.0150375939849624
COP,0.8099352051835853,0.3435897435897436,0.55,0.42,0.3967611336032389,0.4251012145748988,0.1093117408906882,0.068825910931174
EMN,0.7721021611001965,0.45,0.18,0.72,0.1304347826086956,0.7789855072463768,0.0579710144927536,0.0326086956521739
EOG,0.7913223140495868,0.125,0.51,0.31,0.3183673469387755,0.5061224489795918,0.1510204081632653,0.0244897959183673
FE,0.7173144876325088,0.3529411764705882,0.4,0.54,0.1550387596899224,0.6821705426356589,0.1240310077519379,0.0387596899224806
LIN,0.6478076379066479,0.4801980198019802,0.4,0.46,0.4275618374558304,0.3992932862190813,0.1307420494699646,0.0424028268551236
LNT,0.7390029325513197,0.6065573770491803,0.43,0.52,0.3493975903614458,0.6144578313253012,0.0180722891566265,0.0180722891566265
NI,0.7353760445682451,0.4181818181818181,0.36,0.54,0.1648936170212765,0.6914893617021277,0.0478723404255319,0.0957446808510638
NUE,0.6831275720164609,0.3934426229508196,0.35,0.67,0.1388888888888889,0.7870370370370371,0.0648148148148148,0.0092592592592592
OXY,0.7565543071161048,0.3129770992366412,0.38,0.48,0.2191780821917808,0.6383561643835617,0.0904109589041095,0.0520547945205479
PNW,0.4370257966616085,0.7653846153846153,0.59,0.47,0.2022792022792023,0.7777777777777778,0.0056980056980056,0.0142450142450142
WM,0.8562091503267973,0.7,0.15,0.85,0.3218390804597701,0.6666666666666666,0.0,0.0114942528735632
WRK,0.8387096774193549,0.4705882352941176,0.11,0.89,0.1,0.9,0.0,0.0
AAPL,0.9569583931133429,0.740072202166065,0.25,0.83,0.2752941176470588,0.6658823529411765,0.0141176470588235,0.0447058823529411
AMZN,0.717948717948718,0.7714285714285715,0.13,0.9,0.2415094339622641,0.7245283018867924,0.030188679245283,0.0037735849056603
CVX,0.8378378378378378,0.5098039215686274,0.49,0.22,0.620253164556962,0.3417721518987341,0.0379746835443038,0.0
GOOGL,0.99568345323741,0.6707818930041153,0.24,0.69,0.3974082073434125,0.550755939524838,0.019438444924406,0.0323974082073434
JPM,0.6496062992125984,0.199074074074074,0.5,0.4,0.2583732057416268,0.5215311004784688,0.1004784688995215,0.1196172248803827
META,0.8938775510204081,0.4380952380952381,0.36,0.68,0.3625,0.60625,0.0125,0.01875
MSFT,0.9882352941176472,0.5048076923076923,0.11,0.86,0.1521739130434782,0.8016304347826086,0.0081521739130434,0.0380434782608695
NVDA,0.5714285714285714,0.1914893617021276,0.36,0.5,0.2456140350877192,0.5614035087719298,0.1228070175438596,0.0701754385964912
XOM,0.7296037296037297,0.1146496815286624,0.42,0.54,0.0804020100502512,0.7487437185929648,0.0753768844221105,0.0954773869346733
BAC,0.8863920099875156,0.2574031890660592,0.43,0.45,0.309623430962343,0.401673640167364,0.1589958158995816,0.1297071129707113
COST,0.0574948665297741,0.0526315789473684,0.93,0.07,0.0,0.96,0.04,0.0
CSCO,0.4028776978417266,0.7272727272727273,0.21,0.82,0.3414634146341463,0.6585365853658537,0.0,0.0
JNJ,0.4010695187165775,0.4909090909090909,0.36,0.58,0.3663366336633663,0.5247524752475248,0.0792079207920792,0.0297029702970297
LLY,0.5045537340619308,0.2605633802816901,0.45,0.63,0.2032967032967033,0.6758241758241759,0.0989010989010989,0.0219780219780219
ORCL,0.4571428571428571,0.3461538461538461,0.52,0.25,0.4666666666666667,0.3333333333333333,0.1,0.1
V,0.4294871794871794,0.5106382978723404,0.33,0.65,0.3412698412698413,0.5317460317460317,0.0714285714285714,0.0555555555555555
WMT,0.5600961538461539,0.3607843137254902,0.42,0.57,0.2574850299401197,0.6287425149700598,0.0748502994011976,0.0389221556886227
