name,relate,spec,senti,commit,metrics,strategy,governance,risk
xel_2024_chunks,0.8580508474576272,0.6521739130434783,0.28,0.78,0.23921568627450981,0.6274509803921569,0.11764705882352941,0.01568627450980392
wec_2024_chunks,0.7221095334685599,0.48554913294797686,0.25,0.71,0.1214574898785425,0.7935222672064778,0.07692307692307693,0.008097165991902834
vlo_2024_chunks,0.6387755102040816,0.5255474452554745,0.37,0.47,0.29347826086956524,0.5380434782608695,0.11413043478260869,0.05434782608695652
ppl_2024_chunks,0.75,0.4429530201342282,0.37,0.49,0.2555066079295154,0.6431718061674009,0.0881057268722467,0.013215859030837005
nee_2024_chunks,0.8549618320610687,0.42962962962962964,0.4,0.59,0.25862068965517243,0.603448275862069,0.11637931034482758,0.021551724137931036
evrg_2024_chunks,0.6551724137931034,0.5213675213675214,0.27,0.68,0.12834224598930483,0.7647058823529411,0.06417112299465241,0.0427807486631016
etr_2024_chunks,0.56,0.6419753086419753,0.28,0.7,0.2288135593220339,0.6864406779661016,0.0847457627118644,0.0
duk_2024_chunks,0.8123076923076923,0.4482758620689655,0.27,0.65,0.10382513661202186,0.825136612021858,0.0546448087431694,0.01639344262295082
dte_2024_chunks,0.8669623059866962,0.553763440860215,0.43,0.47,0.45041322314049587,0.3925619834710744,0.1446280991735537,0.012396694214876033
cf_2024_chunks,0.875,0.6,0.15,0.73,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.0
aep_2024_chunks,0.7274401473296501,0.26339285714285715,0.41,0.51,0.15849056603773584,0.7056603773584905,0.09811320754716982,0.03773584905660377
aes_2024_chunks,0.6494845360824743,0.4358974358974359,0.28,0.59,0.16037735849056603,0.6886792452830188,0.10377358490566038,0.04716981132075472
cms_2024_chunks,0.776824034334764,0.6702127659574468,0.31,0.61,0.46616541353383456,0.46616541353383456,0.05263157894736842,0.015037593984962405
cop_2024_chunks,0.8099352051835853,0.3435897435897436,0.55,0.42,0.3967611336032389,0.4251012145748988,0.10931174089068826,0.06882591093117409
emn_2024_chunks,0.7721021611001965,0.45,0.18,0.72,0.13043478260869565,0.7789855072463768,0.057971014492753624,0.03260869565217391
eog_2024_chunks,0.7913223140495868,0.125,0.51,0.31,0.3183673469387755,0.5061224489795918,0.1510204081632653,0.024489795918367346
fe_2024_chunks,0.7173144876325088,0.35294117647058826,0.4,0.54,0.15503875968992248,0.6821705426356589,0.12403100775193798,0.03875968992248062
lin_2024_chunks,0.6478076379066479,0.4801980198019802,0.4,0.46,0.4275618374558304,0.3992932862190813,0.13074204946996468,0.04240282685512368
lnt_2024_chunks,0.7390029325513197,0.6065573770491803,0.43,0.52,0.3493975903614458,0.6144578313253012,0.018072289156626505,0.018072289156626505
ni_2024_chunks,0.7353760445682451,0.41818181818181815,0.36,0.54,0.16489361702127658,0.6914893617021277,0.047872340425531915,0.09574468085106383
nue_2024_chunks,0.6831275720164609,0.39344262295081966,0.35,0.67,0.1388888888888889,0.7870370370370371,0.06481481481481481,0.009259259259259259
oxy_2024_chunks,0.7565543071161048,0.31297709923664124,0.38,0.48,0.2191780821917808,0.6383561643835617,0.09041095890410959,0.052054794520547946
pnw_2024_chunks,0.4370257966616085,0.7653846153846153,0.59,0.47,0.2022792022792023,0.7777777777777778,0.005698005698005698,0.014245014245014245
wm_2024_chunks,0.8562091503267973,0.7,0.15,0.85,0.3218390804597701,0.6666666666666666,0.0,0.011494252873563218
wrk_2024_chunks,0.8387096774193549,0.47058823529411764,0.11,0.89,0.1,0.9,0.0,0.0
